channel_Title,video_id,Title,Thumbnail_url,Published_date,Views,Likes,Comment_count,video_url
MySirG.com,YxVJslFSuZA,list in Python | LIVE Community Classes | MySirG,https://i.ytimg.com/vi/YxVJslFSuZA/mqdefault.jpg,2022-10-12,10509,481,28,https://www.youtube.com/embed/YxVJslFSuZA
MySirG.com,7BDZ7WJ_e58,Range in Python | LIVE Community Classes | MySirG,https://i.ytimg.com/vi/7BDZ7WJ_e58/mqdefault.jpg,2022-10-11,9821,384,48,https://www.youtube.com/embed/7BDZ7WJ_e58
MySirG.com,bQ34R6YjdgU,"C, C++ & DSA in Depth in Hindi by Saurabh Shukla | MySirG",https://i.ytimg.com/vi/bQ34R6YjdgU/mqdefault.jpg,2022-10-10,18007,1005,441,https://www.youtube.com/embed/bQ34R6YjdgU
MySirG.com,gZGj-4Sc4hQ,Loop Based Problems | LIVE Community Classes | MySirG,https://i.ytimg.com/vi/gZGj-4Sc4hQ/mqdefault.jpg,2022-10-10,10302,508,57,https://www.youtube.com/embed/gZGj-4Sc4hQ
MySirG.com,v_yPPAfUOEI,Is DSA required in web development?,https://i.ytimg.com/vi/v_yPPAfUOEI/mqdefault.jpg,2022-10-07,28497,2549,29,https://www.youtube.com/embed/v_yPPAfUOEI
MySirG.com,sIDizPFGsxo,Linked List Explained |  Community Classes | LIVE | MySirG,https://i.ytimg.com/vi/sIDizPFGsxo/mqdefault.jpg,2022-10-04,17962,653,89,https://www.youtube.com/embed/sIDizPFGsxo
MySirG.com,k1dRY3tnt9Y,DMA in C Language | Community Classes | LIVE | MySirG,https://i.ytimg.com/vi/k1dRY3tnt9Y/mqdefault.jpg,2022-10-03,10110,447,46,https://www.youtube.com/embed/k1dRY3tnt9Y
MySirG.com,NUZqGDbsfvA,MySirG Course link https://bit.ly/3Ko1Jek,https://i.ytimg.com/vi/NUZqGDbsfvA/mqdefault.jpg,2022-10-02,8331,372,18,https://www.youtube.com/embed/NUZqGDbsfvA
MySirG.com,z2ltgevde94,Structure Array and Pointer in C Language | Community Classes | LIVE | MySirG,https://i.ytimg.com/vi/z2ltgevde94/mqdefault.jpg,2022-09-30,12070,459,65,https://www.youtube.com/embed/z2ltgevde94
MySirG.com,8_ACDqOuwdE,User Input in Structure in C Language | Community Classes | LIVE | MySirG,https://i.ytimg.com/vi/8_ACDqOuwdE/mqdefault.jpg,2022-09-29,9902,465,35,https://www.youtube.com/embed/8_ACDqOuwdE
MySirG.com,JWOF4Vt7GxM,Structure Variables in C Language | Community Classes | LIVE | MySirG,https://i.ytimg.com/vi/JWOF4Vt7GxM/mqdefault.jpg,2022-09-28,10673,617,56,https://www.youtube.com/embed/JWOF4Vt7GxM
